USING: 202 FEATURES
nothing short: 20
most memorable: 15
so many: 97
very funny: 45
very good: 97
car chase: 14
as such: 25
too much: 131
many other: 30
more interesting: 33
more likely: 15
pretty good: 44
year old: 38
ewan mcgregor: 15
too many: 75
most interesting: 30
little more: 68
years old: 20
as much: 107
not only: 172
more interested: 21
la amistad: 1
how much: 41
very long: 15
too long: 40
life less: 3
less ordinary: 3
great acting: 7
most important: 23
not sure: 49
john malkovich: 8
catherine keener: 6
how many: 35
lot more: 27
most popular: 17
joe black: 7
thin red: 7
much better: 62
time i: 37
not much: 46
most impressive: 12
so much: 155
moulin rogue: 1
pretty much: 57
much more: 120
so good: 30
stuart little: 3
good enough: 19
quite good: 15
very little: 63
no real: 29
then i: 25
just plain: 40
too bad: 48
also good: 13
more complex: 14
how do: 14
no more: 19
sleepy hollow: 10
no other: 23
so hard: 15
jackie brown: 11
quite sure: 15
very few: 24
last few: 15
so long: 23
why i: 24
now i: 25
very much: 36
dolores claiborne: 1
wes craven: 14
bill murray: 20
pretty bad: 15
really good: 15
not funny: 18
come true: 12
woody allen: 20
as good: 58
feel good: 14
kung fu: 10
master ii: 3
as long: 23
even more: 106
ali larter: 11
when i: 95
i first: 17
van ryan: 6
as funny: 17
i find: 20
nothing new: 13
films such: 22
no less: 24
most likely: 21
far superior: 17
far more: 45
grumpy old: 5
things i: 17
not enough: 40
steven seagal: 14
no longer: 43
salma hayek: 11
judi dench: 8
blood simple: 3
evil dead: 5
few more: 17
really bad: 26
much less: 16
laurence fishburne: 9
few good: 14
home video: 14
when one: 33
mission impossible: 18
simply irresistible: 5
here i: 15
niagara niagara: 1
film more: 16
so i: 64
so bad: 34
more like: 58
saving private: 16
why do: 17
jason patric: 6
i give: 24
driving miss: 3
anything else: 44
even worse: 42
very hard: 15
one more: 19
bit more: 15
director david: 12
night live: 13
even better: 28
how bad: 17
someone else: 20
oliver platt: 14
other early: 1
very bad: 17
queen elizabeth: 4
years later: 50
joe young: 5
antonio banderas: 12
eyes wide: 4
lake placid: 3
van sant: 9
out loud: 22
computer generated: 16
even less: 18
too late: 19
nothing else: 27
i guess: 71
meg ryan: 20
geoffrey rush: 12
i liked: 42
robert duvall: 11
just like: 43
i mean: 66
studio 54: 5
alec baldwin: 7
san francisco: 9
van damme: 17
tim burton: 18
not scary: 6
tommy lee: 17
wild wild: 6
jason biggs: 8
jean reno: 7
lauren holly: 5
jeff goldblum: 12
natasha henstridge: 11
real blonde: 2
claire forlani: 5
everyone else: 46
die hard: 21
james caan: 4
atom egoyan: 7
i enjoyed: 24
better off: 19
horror high: 1
big burly: 1
robert rodriguez: 8
i hate: 25
something more: 24
not like: 21
not one: 56
matthew broderick: 16
favourite martian: 1
tom green: 1
hardly wait: 6
jamie lee: 7
anyone else: 20
kevin costner: 11
bad acting: 12
roddy mcdowall: 2
michael douglas: 12
i feel: 27
jack nicholson: 13
all right: 25
russell crowe: 4
woody harrelson: 11
i found: 59
something else: 16
kevin lomax: 2
